Anova: Single Factor,,,,,,,,,,,,
,,,,,,,,,,,,
SUMMARY,,,,,,,,Group 1,Group 2,ABS MEAN DIFF,Q Crit,Significant?
Groups,Count,Sum,Average,Variance,,Average Variance,,BDN_Diff,BDW_Diff,0.00394085,0.003424552,Yes
BDN_Diff,309,7.636272118,0.024712855,0.000361461,,0.000231204,,BDN_Diff,BDDW_Diff,0.004556176,0.003424552,Yes
BDW_Diff,309,6.418549405,0.020772005,0.000257199,,,,BDN_Diff,MLR1_Diff,0.004996285,0.003424552,Yes
BDDW_Diff,309,6.228413772,0.020156679,0.000228718,,,,BDN_Diff,MLR2_Diff,0.00549647,0.003424552,Yes
MLR1_Diff,309,6.092419998,0.01971657,0.000209423,,,,BDN_Diff,MLR3_Diff,0.005338625,0.003424552,Yes
MLR2_Diff,309,5.937862828,0.019216385,0.000211573,,,,BDN_Diff,MLR4_Diff,0.004902628,0.003424552,Yes
MLR3_Diff,309,5.986637011,0.01937423,0.000208944,,,,BDN_Diff,MLR5_Diff,0.005986829,0.003424552,Yes
MLR4_Diff,309,6.121360187,0.019810227,0.000207288,,,,BDW_Diff,BDDW_Diff,0.000615326,0.003424552,No
MLR5_Diff,309,5.786341924,0.018726026,0.000165025,,,,BDW_Diff,MLR1_Diff,0.001055435,0.003424552,No
,,,,,,,,BDW_Diff,MLR2_Diff,0.00155562,0.003424552,No
,,,,,,,,BDW_Diff,MLR3_Diff,0.001397775,0.003424552,No
ANOVA,,,,,,,,BDW_Diff,MLR4_Diff,0.000961777,0.003424552,No
Source of Variation,SS,df,MS,F,P-value,F crit,,BDW_Diff,MLR5_Diff,0.002045979,0.003424552,No
Between Groups,0.007664637,7,0.001094948,4.735855864,2.69E-05,2.013291924,,BDDW_Diff,MLR1_Diff,0.000440109,0.003424552,No
Within Groups,0.569686301,2464,0.000231204,,,,,BDDW_Diff,MLR2_Diff,0.000940294,0.003424552,No
,,,,,,,,BDDW_Diff,MLR3_Diff,0.000782449,0.003424552,No
Total,0.577350938,2471,,,,,,BDDW_Diff,MLR4_Diff,0.000346452,0.003424552,No
,,,,,,,,BDDW_Diff,MLR5_Diff,0.001430653,0.003424552,No
,,,,,,,,MLR1_Diff,MLR2_Diff,0.000500185,0.003424552,No
,,,,,,,,MLR1_Diff,MLR3_Diff,0.00034234,0.003424552,No
,,,,,,,,MLR1_Diff,MLR4_Diff,9.37E-05,0.003424552,No
,,,,,,,,MLR1_Diff,MLR5_Diff,0.000990544,0.003424552,No
,,,,,,,,MLR2_Diff,MLR3_Diff,0.000157845,0.003424552,No
,,,,,,,,MLR2_Diff,MLR4_Diff,0.000593843,0.003424552,No
,,,,,,,,MLR2_Diff,MLR5_Diff,0.000490359,0.003424552,No
,,,,,,,,MLR3_Diff,MLR4_Diff,0.000435997,0.003424552,No
,,,,,,,,MLR3_Diff,MLR5_Diff,0.000648204,0.003424552,No
,,,,,,,,MLR4_Diff,MLR5_Diff,0.001084201,0.003424552,No
